date,open,high,low,close,volume
2022-12-15,0.670017,0.670017,0.670017,0.670017,1000
2022-12-16,0.670017,0.670572,0.668565,0.669120,1000
2022-12-19,0.669120,0.671491,0.668725,0.671096,1000
2022-12-20,0.671096,0.672017,0.665568,0.666489,1000
2022-12-21,0.666489,0.670238,0.665864,0.669613,1000
2022-12-22,0.669613,0.670113,0.666611,0.667111,1000
2022-12-23,0.667111,0.671785,0.666333,0.671006,1000
2022-12-27,0.671006,0.674860,0.670363,0.674218,1000
2022-12-28,0.674218,0.675732,0.673706,0.675219,1000
2022-12-29,0.675219,0.678460,0.674679,0.677920,1000
2022-12-30,0.677920,0.681020,0.677403,0.680504,1000
2023-01-03,0.680504,0.682006,0.671491,0.672993,1000
2023-01-04,0.672993,0.688616,0.670389,0.686012,1000
2023-01-05,0.686012,0.688335,0.672077,0.674400,1000
2023-01-06,0.674400,0.688787,0.672002,0.686389,1000
2023-01-09,0.686389,0.696461,0.684710,0.694782,1000
2023-01-10,0.694782,0.696083,0.686978,0.688279,1000
2023-01-11,0.688279,0.690216,0.687956,0.689893,1000
2023-01-12,0.689893,0.695528,0.688954,0.694589,1000
2023-01-13,0.694589,0.695849,0.693764,0.695024,1000
2023-01-17,0.695024,0.699335,0.694305,0.698617,1000
2023-01-18,0.698617,0.699763,0.697666,0.698812,1000
2023-01-19,0.698812,0.700833,0.686684,0.688705,1000
2023-01-20,0.688705,0.696635,0.687384,0.695314,1000
2023-01-23,0.695314,0.703811,0.693897,0.702395,1000
2023-01-24,0.702395,0.704532,0.702039,0.704176,1000
2023-01-25,0.704176,0.709144,0.703348,0.708316,1000
2023-01-26,0.708316,0.709933,0.707804,0.709421,1000
2023-01-27,0.709421,0.710864,0.708734,0.710177,1000
2023-01-30,0.710177,0.710689,0.707101,0.707614,1000
2023-01-31,0.707614,0.708133,0.704501,0.705020,1000
2023-02-01,0.705020,0.707053,0.704681,0.706714,1000
2023-02-02,0.706714,0.708756,0.706373,0.708416,1000
2023-02-03,0.708416,0.711181,0.691824,0.694589,1000
2023-02-06,0.694589,0.696125,0.685371,0.686908,1000
2023-02-07,0.686908,0.693643,0.685785,0.692521,1000
2023-02-08,0.692521,0.694424,0.692204,0.694107,1000
2023-02-09,0.694107,0.696833,0.693653,0.696379,1000
2023-02-10,0.696379,0.697275,0.691002,0.691898,1000
2023-02-13,0.691898,0.697275,0.691002,0.696379,1000
2023-02-14,0.696379,0.697326,0.695238,0.696185,1000
2023-02-15,0.696185,0.697557,0.687950,0.689322,1000
2023-02-16,0.689322,0.690142,0.688075,0.688895,1000
2023-02-17,0.688895,0.689377,0.686001,0.686483,1000
2023-02-21,0.686483,0.687513,0.685453,0.686483,1000
2023-02-22,0.686483,0.687401,0.680978,0.681896,1000
2023-02-23,0.681896,0.682534,0.678064,0.678702,1000
2023-02-24,0.678702,0.679745,0.672449,0.673491,1000
2023-02-27,0.673491,0.674252,0.672233,0.672993,1000
2023-02-28,0.672993,0.674708,0.672685,0.674400,1000
2023-03-01,0.674400,0.677303,0.673916,0.676819,1000
2023-03-02,0.676819,0.677783,0.671034,0.671998,1000
2023-03-03,0.671998,0.676685,0.671217,0.675904,1000
2023-03-06,0.675904,0.676323,0.673390,0.673809,1000
2023-03-07,0.673809,0.676575,0.657213,0.659979,1000
2023-03-08,0.659979,0.661078,0.659098,0.660197,1000
2023-03-09,0.660197,0.661647,0.659663,0.661113,1000
2023-03-10,0.661113,0.662039,0.660056,0.660982,1000
2023-03-13,0.660982,0.670103,0.659462,0.668583,1000
2023-03-14,0.668583,0.669064,0.665697,0.666178,1000
2023-03-15,0.666178,0.667191,0.660100,0.661113,1000
2023-03-16,0.661113,0.666021,0.660295,0.665203,1000
2023-03-17,0.665203,0.668938,0.664581,0.668315,1000
2023-03-20,0.668315,0.671652,0.667759,0.671096,1000
2023-03-21,0.671096,0.672274,0.664025,0.665203,1000
2023-03-22,0.665203,0.669259,0.664527,0.668583,1000
2023-03-23,0.668583,0.672572,0.667918,0.671908,1000
2023-03-24,0.671908,0.673425,0.662802,0.664319,1000
2023-03-27,0.664319,0.665250,0.663257,0.664187,1000
2023-03-28,0.664187,0.672262,0.662841,0.670916,1000
2023-03-29,0.670916,0.671498,0.667420,0.668003,1000
2023-03-30,0.668003,0.670527,0.667582,0.670107,1000
2023-03-31,0.670107,0.671269,0.669258,0.670421,1000
2023-04-03,0.670421,0.679972,0.668829,0.678380,1000
2023-04-04,0.678380,0.679212,0.673385,0.674218,1000
2023-04-05,0.674218,0.674524,0.672506,0.672812,1000
2023-04-06,0.672812,0.673898,0.666292,0.667379,1000
2023-04-07,0.667379,0.668089,0.666089,0.666800,1000
2023-04-10,0.666800,0.667657,0.661658,0.662515,1000
2023-04-11,0.662515,0.665369,0.662039,0.664894,1000
2023-04-12,0.664894,0.669589,0.664111,0.668807,1000
2023-04-13,0.668807,0.679743,0.666984,0.677920,1000
2023-04-14,0.677920,0.679465,0.668652,0.670196,1000
2023-04-17,0.670196,0.670707,0.668699,0.669210,1000
2023-04-18,0.669210,0.672447,0.668670,0.671908,1000
2023-04-19,0.671908,0.672802,0.670787,0.671682,1000
2023-04-20,0.671682,0.676146,0.670938,0.675402,1000
2023-04-21,0.675402,0.676658,0.667864,0.669120,1000
2023-04-24,0.669120,0.669608,0.667604,0.668092,1000
2023-04-25,0.668092,0.669155,0.661716,0.662778,1000
2023-04-26,0.662778,0.663179,0.661194,0.661594,1000
2023-04-27,0.661594,0.662499,0.660515,0.661419,1000
2023-04-28,0.661419,0.662543,0.660558,0.661682,1000
2023-05-01,0.661682,0.664000,0.661296,0.663614,1000
2023-05-02,0.663614,0.667651,0.662941,0.666978,1000
2023-05-03,0.666978,0.668246,0.666244,0.667512,1000
2023-05-04,0.667512,0.668558,0.666555,0.667601,1000
2023-05-05,0.667601,0.676142,0.666178,0.674718,1000
2023-05-08,0.674718,0.680108,0.673820,0.679209,1000
2023-05-09,0.679209,0.680007,0.674421,0.675219,1000
2023-05-10,0.675219,0.676828,0.674799,0.676407,1000
2023-05-11,0.676407,0.677811,0.667985,0.669389,1000
2023-05-12,0.669389,0.670288,0.663995,0.664894,1000
2023-05-15,0.664894,0.670772,0.663914,0.669792,1000
2023-05-16,0.669792,0.670489,0.665615,0.666311,1000
2023-05-17,0.666311,0.666711,0.664715,0.665115,1000
2023-05-18,0.665115,0.665775,0.661153,0.661813,1000
2023-05-19,0.661813,0.666945,0.660958,0.666089,1000
