date,open,high,low,close,volume
2013-06-03,1.309758,1.309758,1.309758,1.309758,1000
2013-06-04,1.309758,1.310606,1.306683,1.307531,1000
2013-06-05,1.307531,1.310093,1.306167,1.308729,1000
2013-06-06,1.308729,1.328079,1.305504,1.324854,1000
2013-06-07,1.324854,1.326490,1.322517,1.324153,1000
2013-06-10,1.324153,1.325787,1.321817,1.323452,1000
2013-06-11,1.323452,1.328724,1.322573,1.327845,1000
2013-06-12,1.327845,1.336995,1.326320,1.335470,1000
2013-06-13,1.335470,1.336288,1.330563,1.331381,1000
2013-06-14,1.331381,1.334179,1.330180,1.332978,1000
2013-06-17,1.332978,1.335512,1.331510,1.334045,1000
2013-06-18,1.334045,1.341986,1.332721,1.340662,1000
2013-06-19,1.340662,1.342583,1.338562,1.340483,1000
2013-06-20,1.340483,1.344308,1.317527,1.321353,1000
2013-06-21,1.321353,1.323363,1.309294,1.311303,1000
2013-06-24,1.311303,1.312151,1.308224,1.309072,1000
2013-06-25,1.309072,1.310520,1.306596,1.308044,1000
2013-06-26,1.308044,1.309542,1.299062,1.300559,1000
2013-06-27,1.300559,1.303019,1.299115,1.301575,1000
2013-06-28,1.301575,1.303272,1.299369,1.301067,1000
2013-07-01,1.301067,1.306980,1.300081,1.305995,1000
2013-07-02,1.305995,1.306845,1.300894,1.301744,1000
2013-07-03,1.301744,1.303103,1.299201,1.300559,1000
2013-07-05,1.300559,1.304063,1.279534,1.283038,1000
2013-07-08,1.283038,1.286999,1.282378,1.286339,1000
2013-07-09,1.286339,1.288114,1.275691,1.277466,1000
2013-07-10,1.277466,1.285933,1.276054,1.284522,1000
2013-07-11,1.284522,1.308653,1.280500,1.304631,1000
2013-07-12,1.304631,1.306674,1.302759,1.304802,1000
2013-07-15,1.304802,1.306332,1.302420,1.303951,1000
2013-07-16,1.303951,1.316497,1.301860,1.314406,1000
2013-07-17,1.314406,1.315404,1.308416,1.309415,1000
2013-07-18,1.309415,1.310606,1.306682,1.307873,1000
2013-07-19,1.307873,1.315505,1.306601,1.314233,1000
2013-07-22,1.314233,1.320267,1.313228,1.319261,1000
2013-07-23,1.319261,1.322202,1.318238,1.321178,1000
2013-07-24,1.321178,1.323949,1.319981,1.322751,1000
2013-07-25,1.322751,1.325087,1.321116,1.323452,1000
2013-07-26,1.323452,1.327666,1.322749,1.326964,1000
2013-07-29,1.326964,1.328601,1.324623,1.326260,1000
2013-07-30,1.326260,1.328426,1.324446,1.326612,1000
2013-07-31,1.326612,1.329397,1.325412,1.328198,1000
2013-08-01,1.328198,1.329497,1.320403,1.321702,1000
2013-08-02,1.321702,1.327805,1.320685,1.326788,1000
2013-08-05,1.326788,1.328249,1.324272,1.325732,1000
2013-08-06,1.325732,1.330386,1.324957,1.329610,1000
2013-08-07,1.329610,1.333651,1.328937,1.332978,1000
2013-08-08,1.332978,1.340476,1.331728,1.339226,1000
2013-08-09,1.339226,1.340298,1.332795,1.333867,1000
2013-08-12,1.333867,1.334532,1.330538,1.331203,1000
2013-08-13,1.331203,1.332508,1.323374,1.324679,1000
2013-08-14,1.324679,1.327106,1.323129,1.325557,1000
2013-08-15,1.325557,1.327898,1.323919,1.326260,1000
2013-08-16,1.326260,1.333256,1.325094,1.332090,1000
2013-08-19,1.332090,1.335426,1.331421,1.334757,1000
2013-08-20,1.334757,1.344219,1.333180,1.342642,1000
2013-08-21,1.342642,1.343827,1.335535,1.336720,1000
2013-08-22,1.336720,1.338456,1.334447,1.336184,1000
2013-08-23,1.336184,1.339834,1.335575,1.339226,1000
2013-08-26,1.339226,1.340068,1.336057,1.336898,1000
2013-08-27,1.336898,1.339801,1.335785,1.338688,1000
2013-08-28,1.338688,1.339901,1.331410,1.332623,1000
2013-08-29,1.332623,1.334597,1.320777,1.322751,1000
2013-08-30,1.322751,1.323380,1.318981,1.319609,1000
2013-09-03,1.319609,1.320235,1.315857,1.316482,1000
2013-09-04,1.316482,1.322118,1.315543,1.321178,1000
2013-09-05,1.321178,1.323016,1.310154,1.311992,1000
2013-09-06,1.311992,1.317589,1.311059,1.316656,1000
2013-09-09,1.316656,1.327970,1.314770,1.326084,1000
2013-09-10,1.326084,1.328073,1.324095,1.326084,1000
2013-09-11,1.326084,1.330952,1.325273,1.330141,1000
2013-09-12,1.330141,1.332847,1.328852,1.331558,1000
2013-09-13,1.331558,1.332336,1.326891,1.327669,1000
2013-09-16,1.327669,1.336389,1.326215,1.334935,1000
2013-09-17,1.334935,1.337295,1.333288,1.335648,1000
2013-09-18,1.335648,1.337384,1.333378,1.335113,1000
2013-09-19,1.335113,1.356134,1.331610,1.352631,1000
2013-09-20,1.352631,1.354476,1.350420,1.352265,1000
